hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|AL,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grove Hill Memorial Hospital,8/1/2024,2.0.0,Grove Hill Memorial Hospital,"295 South Jackson Street, Grove Hill, AL 36451",63-0436871 | AL,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code | 1,code |1| type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,,modifiers,standard_charge|[BCBS]|[Alabama] |negotiated_dollar,standard_charge|[Medicare]|[Alabama] |negotiated_dollar,standard_charge|[Aetna]|[Alabama] | negotiated_dollar,standard_charge|[Cigna]|[Alabama] |negotiated_dollar,standard_charge|[Humana]|[Alabama] |negotiated_dollar,standard_charge|[Medicaid]|[Alabama] |negotiated_dollar,standard_charge|[BCBS]|[Alabama]|negotiated_percentage,standard_charge|[Medicare]|[Alabama]|negotiated_percentage,standard_charge|[Aetna]|[Alabama]|negotiated_percentage,standard_charge|[Cigna]|[Alabama]|negotiated_percentage,standard_charge|[Humana]|[Alabama]|negotiated_percentage,standard_charge|[Medicaid]|[Alabama]|negotiated_percentage,standard_charge|[BCBS]|[Alabama]|negotiated_algorithm,standard_charge|[Medicare]|[Alabama]|negotiated_algorithm,standard_charge|[Aetna]|[Alabama]|negotiated_algorithm,standard_charge|[Cigna]|[Alabama]|negotiated_algorithm,standard_charge|[Humana]|[Alabama]|negotiated_algorithm,standard_charge|[Medicaid]|[Alabama]|negotiated_algorithm,standard_charge|min,standard_charge|max,standard_charge|[BCBS] |[Alabama] |methodology,standard_charge|[Medicare] |[Alabama] |methodology,standard_charge|[Aetna] |[Alabama] |methodology,standard_charge|[Cigna] |[Alabama] |methodology,standard_charge|[Humana] |[Alabama] |methodology,standard_charge|[Medicaid] |[Alabama] |methodology,estimated_amount|[BCBS]|[Alabama],estimated_amount|[Medicare]|[Alabama],estimated_amount|[Aetna]|[Alabama],estimated_amount|[Cigna]|[Alabama],estimated_amount|[Humana]|[Alabama],estimated_amount|[Medicaid]|[Alabama],additional_generic_notes,additional_payer_notes|[BCBS]|[Alabama],additional_payer_notes|[Medicare]|[Alabama],additional_payer_notes|[Aetna]|[Alabama],additional_payer_notes|[Cigna]|[Alabama],additional_payer_notes|[Humana]|[Alabama],additional_payer_notes|[Medicaid]|[Alabama]
US RENAL COMPLETE,76770,CPT,Both,,,496,298,,,99.2,99.2,99.2,99.2,99.2,99.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,99.2,372,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,99.2,99.2,99.2,99.2,99.2,99.2,N/A,,,,,,
US SCROTUM,76870,CPT,Both,,,298,179,,,59.6,59.6,59.6,59.6,59.6,59.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,59.6,224,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,59.6,59.6,59.6,59.6,59.6,59.6,N/A,,,,,,
US VENOUS DOPPLER LOWE,93970,CPT,Both,,,788,473,,,157.6,157.6,157.6,157.6,157.6,157.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,157.6,591,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,157.6,157.6,157.6,157.6,157.6,157.6,N/A,,,,,,
US VENOUS DOPPLER LOWE,93971,CPT,Both,,,433,260,,,86.6,86.6,86.6,86.6,86.6,86.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,86.6,325,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,86.6,86.6,86.6,86.6,86.6,86.6,N/A,,,,,,
US ANKLE/BRACHIAL INDE,93922,CPT,Both,,,318,191,,,63.6,63.6,63.6,63.6,63.6,63.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,63.6,239,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,63.6,63.6,63.6,63.6,63.6,63.6,N/A,,,,,,
US ARTERIAL DOPPLER UP,93931,CPT,Both,,,485,291,,,97,97,97,97,97,97,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,97,364,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,97,97,97,97,97,97,N/A,,,,,,
CT HEAD W CON,70460,CPT,Both,,,1708,1025,,,341.6,341.6,341.6,341.6,341.6,341.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,341.6,1281,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,341.6,341.6,341.6,341.6,341.6,341.6,N/A,,,,,,
CT ABD W CON,74160,CPT,Both,,,2397,1438,,,479.4,479.4,479.4,479.4,479.4,479.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,479.4,1798,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,479.4,479.4,479.4,479.4,479.4,479.4,N/A,,,,,,
CT ABD WO AND W CON,74170,CPT,Both,,,2748,1649,,,549.6,549.6,549.6,549.6,549.6,549.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,549.6,2061,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,549.6,549.6,549.6,549.6,549.6,549.6,N/A,,,,,,
CT ABD WO CON,74150,CPT,Both,,,1800,1080,,,360,360,360,360,360,360,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,360,1350,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,360,360,360,360,360,360,N/A,,,,,,
CT ABDOMEN PELVIS W AN,74178,CPT,Both,,,3434,2060,,,686.8,686.8,686.8,686.8,686.8,686.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,686.8,2576,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,686.8,686.8,686.8,686.8,686.8,686.8,N/A,,,,,,
CT ABDOMEN PELVIS W CO,74177,CPT,Both,,,2886,1732,,,577.2,577.2,577.2,577.2,577.2,577.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,577.2,2165,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,577.2,577.2,577.2,577.2,577.2,577.2,N/A,,,,,,
CT ABDOMEN PELVIS WO C,74176,CPT,Both,,,2850,1710,,,570,570,570,570,570,570,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,570,2138,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,570,570,570,570,570,570,N/A,,,,,,
CT CSPINE WO CON,72125,CPT,Both,,,1347,808,,,269.4,269.4,269.4,269.4,269.4,269.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,269.4,1010,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,269.4,269.4,269.4,269.4,269.4,269.4,N/A,,,,,,
CT FACIAL SINUS W CONT,70487,CPT,Both,,,1942,1165,,,388.4,388.4,388.4,388.4,388.4,388.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,388.4,1457,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,388.4,388.4,388.4,388.4,388.4,388.4,N/A,,,,,,
CT FACIAL SINUS WO CON,70486,CPT,Both,,,1165,699,,,233,233,233,233,233,233,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,233,874,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,233,233,233,233,233,233,N/A,,,,,,
CT HEAD WO AND W CON,70470,CPT,Both,,,2888,1733,,,577.6,577.6,577.6,577.6,577.6,577.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,577.6,2166,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,577.6,577.6,577.6,577.6,577.6,577.6,N/A,,,,,,
CT HEAD WO CON,70450,CPT,Both,,,1475,885,,,295,295,295,295,295,295,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,295,1106,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,295,295,295,295,295,295,N/A,,,,,,
CT L SPINE WO CON,72131,CPT,Both,,,1338,803,,,267.6,267.6,267.6,267.6,267.6,267.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,267.6,1004,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,267.6,267.6,267.6,267.6,267.6,267.6,N/A,,,,,,
CT NECK SOFT TISSUE W,70491,CPT,Both,,,1540,924,,,308,308,308,308,308,308,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,308,1155,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,308,308,308,308,308,308,N/A,,,,,,
CT NECK SOFT TISSUE WO,70492,CPT,Both,,,2350,1410,,,470,470,470,470,470,470,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,470,1763,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,470,470,470,470,470,470,N/A,,,,,,
CT NECK SOFT TISSUE WO,70490,CPT,Both,,,1648,989,,,329.6,329.6,329.6,329.6,329.6,329.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,329.6,1236,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,329.6,329.6,329.6,329.6,329.6,329.6,N/A,,,,,,
CT PELIVS W CON,72193,CPT,Both,,,2053,1232,,,410.6,410.6,410.6,410.6,410.6,410.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,410.6,1540,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,410.6,410.6,410.6,410.6,410.6,410.6,N/A,,,,,,
CT PELVIS WO CON,72192,CPT,Both,,,2046,1228,,,409.2,409.2,409.2,409.2,409.2,409.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,409.2,1535,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,409.2,409.2,409.2,409.2,409.2,409.2,N/A,,,,,,
CT T SPINE WO CON,72128,CPT,Both,,,1347,808,,,269.4,269.4,269.4,269.4,269.4,269.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,269.4,1010,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,269.4,269.4,269.4,269.4,269.4,269.4,N/A,,,,,,
CT CHEST W CON,71260,CPT,Both,,,1530,918,,,306,306,306,306,306,306,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,306,1148,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,306,306,306,306,306,306,N/A,,,,,,
CT CHEST WO CON,71250,CPT,Both,,,1376,826,,,275.2,275.2,275.2,275.2,275.2,275.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,275.2,1032,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,275.2,275.2,275.2,275.2,275.2,275.2,N/A,,,,,,
CT CHEST W/WO CON,71270,CPT,Both,,,2440,1464,,,488,488,488,488,488,488,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,488,1830,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,488,488,488,488,488,488,N/A,,,,,,
CT UPPER EXT WO CON,73200,CPT,Both,,,1347,808,,"LT, TC",269.4,269.4,269.4,269.4,269.4,269.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,269.4,1010,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,269.4,269.4,269.4,269.4,269.4,269.4,N/A,,,,,,
CT CHEST PE STUDY,75574,CPT,Both,,,2286,1372,,,457.2,457.2,457.2,457.2,457.2,457.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,457.2,1715,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,457.2,457.2,457.2,457.2,457.2,457.2,N/A,,,,,,
CT LWR EXT WO CON,73700,CPT,Both,,,1379,827,,"LT, RT",275.8,275.8,275.8,275.8,275.8,275.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,275.8,1034,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,275.8,275.8,275.8,275.8,275.8,275.8,N/A,,,,,,
CT ORBIT EAR FOSSA WO,70480,CPT,Both,,,1919,1151,,,383.8,383.8,383.8,383.8,383.8,383.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,383.8,1439,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,383.8,383.8,383.8,383.8,383.8,383.8,N/A,,,,,,
CT LWR EXT W CON,73701,CPT,Both,,,2500,1500,,"LT, RT",500,500,500,500,500,500,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,500,1875,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,500,500,500,500,500,500,N/A,,,,,,
CT FACIAL SINUS W & WO,70488,CPT,Both,,,2081,1249,,,416.2,416.2,416.2,416.2,416.2,416.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,416.2,1561,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,416.2,416.2,416.2,416.2,416.2,416.2,N/A,,,,,,
CT UPPER EXT W CON,73201,CPT,Both,,,2124,1274,,"LT, TC",424.8,424.8,424.8,424.8,424.8,424.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,424.8,1593,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,424.8,424.8,424.8,424.8,424.8,424.8,N/A,,,,,,
CT CERVICAL SPINE W CO,72126,CPT,Both,,,3217,1930,,,643.4,643.4,643.4,643.4,643.4,643.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,643.4,2413,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,643.4,643.4,643.4,643.4,643.4,643.4,N/A,,,,,,
CT THORACIC SPINE W CO,72129,CPT,Both,,,2837,1702,,,567.4,567.4,567.4,567.4,567.4,567.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,567.4,2128,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,567.4,567.4,567.4,567.4,567.4,567.4,N/A,,,,,,
CT LUMBAR SPINE W CONT,72132,CPT,Both,,,3434,2060,,,686.8,686.8,686.8,686.8,686.8,686.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,686.8,2576,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,686.8,686.8,686.8,686.8,686.8,686.8,N/A,,,,,,
CODE BLUE,92950,CPT,Both,,,1000,600,,,200,200,200,200,200,200,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,200,750,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,200,200,200,200,200,200,N/A,,,,,,
17-OH PROGESTERONE,83498,CPT,Both,,,209,125,,,41.8,41.8,41.8,41.8,41.8,41.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,41.8,157,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,41.8,41.8,41.8,41.8,41.8,41.8,N/A,,,,,,
5 HIAA 24 HR URINE,83497,CPT,Both,,,181,109,,,36.2,36.2,36.2,36.2,36.2,36.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,36.2,136,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,36.2,36.2,36.2,36.2,36.2,36.2,N/A,,,,,,
ABG,82803,CPT,Both,,,209,125,,,41.8,41.8,41.8,41.8,41.8,41.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,41.8,157,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,41.8,41.8,41.8,41.8,41.8,41.8,N/A,,,,,,
BB ABO GROUP,86900,CPT,Both,,,112,67,,,22.4,22.4,22.4,22.4,22.4,22.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22.4,84,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22.4,22.4,22.4,22.4,22.4,22.4,N/A,,,,,,
ACETAMINOPHEN,G0480,CPT,Both,,,167,100,,,33.4,33.4,33.4,33.4,33.4,33.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,33.4,125,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,33.4,33.4,33.4,33.4,33.4,33.4,N/A,,,,,,
ACTH LEVEL,82024,CPT,Both,,,189,113,,,37.8,37.8,37.8,37.8,37.8,37.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,37.8,142,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,37.8,37.8,37.8,37.8,37.8,37.8,N/A,,,,,,
ACUTE HEPATITIS PANEL,80074,CPT,Both,,,384,230,,,76.8,76.8,76.8,76.8,76.8,76.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,76.8,288,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,76.8,76.8,76.8,76.8,76.8,76.8,N/A,,,,,,
ALDOLASE LEVEL,82085,CPT,Both,,,123,74,,,24.6,24.6,24.6,24.6,24.6,24.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,24.6,92,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,24.6,24.6,24.6,24.6,24.6,24.6,N/A,,,,,,
"ESTRIOL, SERUM",82677,CPT,Both,,,71,43,,,14.2,14.2,14.2,14.2,14.2,14.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,14.2,53,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,14.2,14.2,14.2,14.2,14.2,14.2,N/A,,,,,,
ALBUMIN,82040,CPT,Both,,,55,33,,,11,11,11,11,11,11,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,11,41,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,11,11,11,11,11,11,N/A,,,,,,
ALK PHOSPHATASE,84075,CPT,Both,,,65,39,,,13,13,13,13,13,13,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,13,49,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,13,13,13,13,13,13,N/A,,,,,,
HEARING SCREENING,92650,CPT,Both,,,270,162,,,54,54,54,54,54,54,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,54,203,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,54,54,54,54,54,54,N/A,,,,,,
ALPHA1-ANTITRYPSIN,82103,CPT,Both,,,132,79,,,26.4,26.4,26.4,26.4,26.4,26.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,26.4,99,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,26.4,26.4,26.4,26.4,26.4,26.4,N/A,,,,,,
AFP TETRA PROFILE,82105,CPT,Both,,,103,62,,,20.6,20.6,20.6,20.6,20.6,20.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20.6,77,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,20.6,20.6,20.6,20.6,20.6,20.6,N/A,,,,,,
ALPHA,81200,CPT,Both,,,769,461,,,153.8,153.8,153.8,153.8,153.8,153.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,153.8,577,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,153.8,153.8,153.8,153.8,153.8,153.8,N/A,,,,,,
AMMONIA LEVEL,82140,CPT,Both,,,110,66,,,22,22,22,22,22,22,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22,83,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22,22,22,22,22,22,N/A,,,,,,
AMYLASE,82150,CPT,Both,,,101,61,,,20.2,20.2,20.2,20.2,20.2,20.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20.2,76,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,20.2,20.2,20.2,20.2,20.2,20.2,N/A,,,,,,
"ANA, MULTIPLEX, REFLEX",86038,CPT,Both,,,85,51,,,17,17,17,17,17,17,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,17,64,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,17,17,17,17,17,17,N/A,,,,,,
ANAEROBIC CULTURE,87075,CPT,Both,,,194,116,,,38.8,38.8,38.8,38.8,38.8,38.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,38.8,146,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,38.8,38.8,38.8,38.8,38.8,38.8,N/A,,,,,,
RETICULIN IGA ANTIBODI,86255,CPT,Both,,,131,79,,,26.2,26.2,26.2,26.2,26.2,26.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,26.2,98,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,26.2,26.2,26.2,26.2,26.2,26.2,N/A,,,,,,
ANGIOTENSIN CONVERTING,82164,CPT,Both,,,137,82,,,27.4,27.4,27.4,27.4,27.4,27.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,27.4,103,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,27.4,27.4,27.4,27.4,27.4,27.4,N/A,,,,,,
ANTI CITRULLINATED PEP,86200,CPT,Both,,,153,92,,,30.6,30.6,30.6,30.6,30.6,30.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,30.6,115,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,30.6,30.6,30.6,30.6,30.6,30.6,N/A,,,,,,
THYROID ANTITHYROGLOBU,86800,CPT,Both,,,132,79,,,26.4,26.4,26.4,26.4,26.4,26.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,26.4,99,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,26.4,26.4,26.4,26.4,26.4,26.4,N/A,,,,,,
BB ANTIBODY SCREEN,86850,CPT,Both,,,118,71,,,23.6,23.6,23.6,23.6,23.6,23.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,23.6,89,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,23.6,23.6,23.6,23.6,23.6,23.6,N/A,,,,,,
