Encompass Health Rehabilitation Hospital of Gadsden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"801 Goodyear Avenue, Gadsden, AL 35903-1133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State License # - H2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare (CCN) # - 013032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hospital Financial Aide Policy - Our hospital offers a financial aide policy.  For more information go to the hospital's main website and click on ""For Patients"" and then select ""Financial Assistance""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2: SHOPPABLE SERVICE NOT OFFERED AT HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 3: Plan does not pay our hospital for the SHOPPABLE_SERVICES and/or the BILLING_REVENUE_SERVICE_CODE beginning with CMG. The Negotiated Charge for a specific Plan will only be displayed for applicable SHOPPABLE_SERVICES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,AMBETTER AL EXCHANGE (AALZ) negotiated charge,ASCENSION COMPLETE MCR (ASCM) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL MEDICARE ADVANTAG (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,MEDICARE (MCR) negotiated charge,MULTIPLAN WORK COMP (MULW) negotiated charge,PARADIGM WORK COMP (PARW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,THREE RIVERS HEALTH WC (TRPW) negotiated charge,TRICARE (TRI) negotiated charge,TRICARE FOR LIFE (TRIM) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE EXCHANG (UHCZ) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$26612.52,$31308.85,Note 3,$31308.85,Note 3,Note 3,$31308.85,Note 3,Note 3,$30369.59,Note 3,Note 3,$31308.85,Note 3,$31308.85,$31308.85,Note 3,$31308.85,Note 3,Note 3,$31308.85,$31308.85,$31308.85,Note 3,Note 3,$29743.41,Note 3,$26612.52,$31308.85
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$30855.88,$36301.03,Note 3,$36301.03,Note 3,Note 3,$36301.03,Note 3,Note 3,$35212.00,Note 3,Note 3,$36301.03,Note 3,$36301.03,$36301.03,Note 3,$36301.03,Note 3,Note 3,$36301.03,$36301.03,$36301.03,Note 3,Note 3,$34485.98,Note 3,$30855.88,$36301.03
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$39336.22,$46277.90,Note 3,$46277.90,Note 3,Note 3,$46277.90,Note 3,Note 3,$44889.56,Note 3,Note 3,$46277.90,Note 3,$46277.90,$46277.90,Note 3,$46277.90,Note 3,Note 3,$46277.90,$46277.90,$46277.90,Note 3,Note 3,$43964.01,Note 3,$39336.22,$46277.90
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$34980.93,$41154.04,Note 3,$41154.04,Note 3,Note 3,$41154.04,Note 3,Note 3,$39919.42,Note 3,Note 3,$41154.04,Note 3,$41154.04,$41154.04,Note 3,$41154.04,Note 3,Note 3,$41154.04,$41154.04,$41154.04,Note 3,Note 3,$39096.33,Note 3,$34980.93,$41154.04
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$33956.98,$39949.39,Note 3,$39949.39,Note 3,Note 3,$39949.39,Note 3,Note 3,$38750.91,Note 3,Note 3,$39949.39,Note 3,$39949.39,$39949.39,Note 3,$39949.39,Note 3,Note 3,$39949.39,$39949.39,$39949.39,Note 3,Note 3,$37951.92,Note 3,$33956.98,$39949.39
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$42182.92,$49626.97,Note 3,$49626.97,Note 3,Note 3,$49626.97,Note 3,Note 3,$48138.16,Note 3,Note 3,$49626.97,Note 3,$49626.97,$49626.97,Note 3,$49626.97,Note 3,Note 3,$49626.97,$49626.97,$49626.97,Note 3,Note 3,$47145.62,Note 3,$42182.92,$49626.97
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$53777.09,$63267.17,Note 3,$63267.17,Note 3,Note 3,$63267.17,Note 3,Note 3,$61369.15,Note 3,Note 3,$63267.17,Note 3,$63267.17,$63267.17,Note 3,$63267.17,Note 3,Note 3,$63267.17,$63267.17,$63267.17,Note 3,Note 3,$60103.81,Note 3,$53777.09,$63267.17
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$47822.92,$56262.26,Note 3,$56262.26,Note 3,Note 3,$56262.26,Note 3,Note 3,$54574.39,Note 3,Note 3,$56262.26,Note 3,$56262.26,$56262.26,Note 3,$56262.26,Note 3,Note 3,$56262.26,$56262.26,$56262.26,Note 3,Note 3,$53449.14,Note 3,$47822.92,$56262.26
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$46423.73,$54616.15,Note 3,$54616.15,Note 3,Note 3,$54616.15,Note 3,Note 3,$52977.67,Note 3,Note 3,$54616.15,Note 3,$54616.15,$54616.15,Note 3,$54616.15,Note 3,Note 3,$54616.15,$54616.15,$54616.15,Note 3,Note 3,$51885.35,Note 3,$46423.73,$54616.15
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$10939.09,$12869.52,Note 3,$12869.52,Note 3,Note 3,$12869.52,Note 3,Note 3,$12483.44,Note 3,Note 3,$12869.52,Note 3,$12869.52,$12869.52,Note 3,$12869.52,Note 3,Note 3,$12869.52,$12869.52,$12869.52,Note 3,Note 3,$12226.05,Note 3,$10939.09,$12869.52
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$16152.97,$19003.49,Note 3,$19003.49,Note 3,Note 3,$19003.49,Note 3,Note 3,$18433.39,Note 3,Note 3,$19003.49,Note 3,$19003.49,$19003.49,Note 3,$19003.49,Note 3,Note 3,$19003.49,$19003.49,$19003.49,Note 3,Note 3,$18053.32,Note 3,$16152.97,$19003.49
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$12565.97,$14783.49,Note 3,$14783.49,Note 3,Note 3,$14783.49,Note 3,Note 3,$14339.98,Note 3,Note 3,$14783.49,Note 3,$14783.49,$14783.49,Note 3,$14783.49,Note 3,Note 3,$14783.49,$14783.49,$14783.49,Note 3,Note 3,$14044.31,Note 3,$12565.97,$14783.49
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$11871.46,$13966.42,Note 3,$13966.42,Note 3,Note 3,$13966.42,Note 3,Note 3,$13547.43,Note 3,Note 3,$13966.42,Note 3,$13966.42,$13966.42,Note 3,$13966.42,Note 3,Note 3,$13966.42,$13966.42,$13966.42,Note 3,Note 3,$13268.10,Note 3,$11871.46,$13966.42
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$13723.47,$16145.26,Note 3,$16145.26,Note 3,Note 3,$16145.26,Note 3,Note 3,$15660.91,Note 3,Note 3,$16145.26,Note 3,$16145.26,$16145.26,Note 3,$16145.26,Note 3,Note 3,$16145.26,$16145.26,$16145.26,Note 3,Note 3,$15338.00,Note 3,$13723.47,$16145.26
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$20264.03,$23840.04,Note 3,$23840.04,Note 3,Note 3,$23840.04,Note 3,Note 3,$23124.84,Note 3,Note 3,$23840.04,Note 3,$23840.04,$23840.04,Note 3,$23840.04,Note 3,Note 3,$23840.04,$23840.04,$23840.04,Note 3,Note 3,$22648.04,Note 3,$20264.03,$23840.04
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$15763.74,$18545.58,Note 3,$18545.58,Note 3,Note 3,$18545.58,Note 3,Note 3,$17989.21,Note 3,Note 3,$18545.58,Note 3,$18545.58,$18545.58,Note 3,$18545.58,Note 3,Note 3,$18545.58,$18545.58,$18545.58,Note 3,Note 3,$17618.30,Note 3,$15763.74,$18545.58
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$14893.70,$17522.00,Note 3,$17522.00,Note 3,Note 3,$17522.00,Note 3,Note 3,$16996.34,Note 3,Note 3,$17522.00,Note 3,$17522.00,$17522.00,Note 3,$17522.00,Note 3,Note 3,$17522.00,$17522.00,$17522.00,Note 3,Note 3,$16645.90,Note 3,$14893.70,$17522.00
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$15731.94,$18508.17,Note 3,$18508.17,Note 3,Note 3,$18508.17,Note 3,Note 3,$17952.92,Note 3,Note 3,$18508.17,Note 3,$18508.17,$18508.17,Note 3,$18508.17,Note 3,Note 3,$18508.17,$18508.17,$18508.17,Note 3,Note 3,$17582.76,Note 3,$15731.94,$18508.17
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$23227.77,$27326.78,Note 3,$27326.78,Note 3,Note 3,$27326.78,Note 3,Note 3,$26506.98,Note 3,Note 3,$27326.78,Note 3,$27326.78,$27326.78,Note 3,$27326.78,Note 3,Note 3,$27326.78,$27326.78,$27326.78,Note 3,Note 3,$25960.44,Note 3,$23227.77,$27326.78
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$18069.86,$21258.65,Note 3,$21258.65,Note 3,Note 3,$21258.65,Note 3,Note 3,$20620.89,Note 3,Note 3,$21258.65,Note 3,$21258.65,$21258.65,Note 3,$21258.65,Note 3,Note 3,$21258.65,$21258.65,$21258.65,Note 3,Note 3,$20195.72,Note 3,$18069.86,$21258.65
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$17071.35,$20083.94,Note 3,$20083.94,Note 3,Note 3,$20083.94,Note 3,Note 3,$19481.42,Note 3,Note 3,$20083.94,Note 3,$20083.94,$20083.94,Note 3,$20083.94,Note 3,Note 3,$20083.94,$20083.94,$20083.94,Note 3,Note 3,$19079.74,Note 3,$17071.35,$20083.94
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$18700.76,$22000.90,Note 3,$22000.90,Note 3,Note 3,$22000.90,Note 3,Note 3,$21340.87,Note 3,Note 3,$22000.90,Note 3,$22000.90,$22000.90,Note 3,$22000.90,Note 3,Note 3,$22000.90,$22000.90,$22000.90,Note 3,Note 3,$20900.85,Note 3,$18700.76,$22000.90
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$27611.03,$32483.57,Note 3,$32483.57,Note 3,Note 3,$32483.57,Note 3,Note 3,$31509.06,Note 3,Note 3,$32483.57,Note 3,$32483.57,$32483.57,Note 3,$32483.57,Note 3,Note 3,$32483.57,$32483.57,$32483.57,Note 3,Note 3,$30859.39,Note 3,$27611.03,$32483.57
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$21480.05,$25270.65,Note 3,$25270.65,Note 3,Note 3,$25270.65,Note 3,Note 3,$24512.53,Note 3,Note 3,$25270.65,Note 3,$25270.65,$25270.65,Note 3,$25270.65,Note 3,Note 3,$25270.65,$25270.65,$25270.65,Note 3,Note 3,$24007.12,Note 3,$21480.05,$25270.65
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$20293.29,$23874.46,Note 3,$23874.46,Note 3,Note 3,$23874.46,Note 3,Note 3,$23158.23,Note 3,Note 3,$23874.46,Note 3,$23874.46,$23874.46,Note 3,$23874.46,Note 3,Note 3,$23874.46,$23874.46,$23874.46,Note 3,Note 3,$22680.74,Note 3,$20293.29,$23874.46
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$25985.43,$30571.10,Note 3,$30571.10,Note 3,Note 3,$30571.10,Note 3,Note 3,$29653.97,Note 3,Note 3,$30571.10,Note 3,$30571.10,$30571.10,Note 3,$30571.10,Note 3,Note 3,$30571.10,$30571.10,$30571.10,Note 3,Note 3,$29042.54,Note 3,$25985.43,$30571.10
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$38366.96,$45137.60,Note 3,$45137.60,Note 3,Note 3,$45137.60,Note 3,Note 3,$43783.47,Note 3,Note 3,$45137.60,Note 3,$45137.60,$45137.60,Note 3,$45137.60,Note 3,Note 3,$45137.60,$45137.60,$45137.60,Note 3,Note 3,$42880.72,Note 3,$38366.96,$45137.60
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$29848.46,$35115.84,Note 3,$35115.84,Note 3,Note 3,$35115.84,Note 3,Note 3,$34062.36,Note 3,Note 3,$35115.84,Note 3,$35115.84,$35115.84,Note 3,$35115.84,Note 3,Note 3,$35115.84,$35115.84,$35115.84,Note 3,Note 3,$33360.04,Note 3,$29848.46,$35115.84
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$28198.69,$33174.93,Note 3,$33174.93,Note 3,Note 3,$33174.93,Note 3,Note 3,$32179.69,Note 3,Note 3,$33174.93,Note 3,$33174.93,$33174.93,Note 3,$33174.93,Note 3,Note 3,$33174.93,$33174.93,$33174.93,Note 3,Note 3,$31516.19,Note 3,$28198.69,$33174.93
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$10654.17,$12534.32,Note 3,$12534.32,Note 3,Note 3,$12534.32,Note 3,Note 3,$12158.29,Note 3,Note 3,$12534.32,Note 3,$12534.32,$12534.32,Note 3,$12534.32,Note 3,Note 3,$12534.32,$12534.32,$12534.32,Note 3,Note 3,$11907.60,Note 3,$10654.17,$12534.32
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$16900.90,$19883.41,Note 3,$19883.41,Note 3,Note 3,$19883.41,Note 3,Note 3,$19286.91,Note 3,Note 3,$19883.41,Note 3,$19883.41,$19883.41,Note 3,$19883.41,Note 3,Note 3,$19883.41,$19883.41,$19883.41,Note 3,Note 3,$18889.24,Note 3,$16900.90,$19883.41
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$12653.73,$14886.74,Note 3,$14886.74,Note 3,Note 3,$14886.74,Note 3,Note 3,$14440.14,Note 3,Note 3,$14886.74,Note 3,$14886.74,$14886.74,Note 3,$14886.74,Note 3,Note 3,$14886.74,$14886.74,$14886.74,Note 3,Note 3,$14142.41,Note 3,$12653.73,$14886.74
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$11812.95,$13897.59,Note 3,$13897.59,Note 3,Note 3,$13897.59,Note 3,Note 3,$13480.66,Note 3,Note 3,$13897.59,Note 3,$13897.59,$13897.59,Note 3,$13897.59,Note 3,Note 3,$13897.59,$13897.59,$13897.59,Note 3,Note 3,$13202.71,Note 3,$11812.95,$13897.59
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$13512.32,$15896.85,Note 3,$15896.85,Note 3,Note 3,$15896.85,Note 3,Note 3,$15419.95,Note 3,Note 3,$15896.85,Note 3,$15896.85,$15896.85,Note 3,$15896.85,Note 3,Note 3,$15896.85,$15896.85,$15896.85,Note 3,Note 3,$15102.01,Note 3,$13512.32,$15896.85
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$21436.81,$25219.77,Note 3,$25219.77,Note 3,Note 3,$25219.77,Note 3,Note 3,$24463.18,Note 3,Note 3,$25219.77,Note 3,$25219.77,$25219.77,Note 3,$25219.77,Note 3,Note 3,$25219.77,$25219.77,$25219.77,Note 3,Note 3,$23958.78,Note 3,$21436.81,$25219.77
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$16049.94,$18882.28,Note 3,$18882.28,Note 3,Note 3,$18882.28,Note 3,Note 3,$18315.81,Note 3,Note 3,$18882.28,Note 3,$18882.28,$18882.28,Note 3,$18882.28,Note 3,Note 3,$18882.28,$18882.28,$18882.28,Note 3,Note 3,$17938.17,Note 3,$16049.94,$18882.28
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$14982.74,$17626.76,Note 3,$17626.76,Note 3,Note 3,$17626.76,Note 3,Note 3,$17097.95,Note 3,Note 3,$17626.76,Note 3,$17626.76,$17626.76,Note 3,$17626.76,Note 3,Note 3,$17626.76,$17626.76,$17626.76,Note 3,Note 3,$16745.42,Note 3,$14982.74,$17626.76
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$15921.47,$18731.14,Note 3,$18731.14,Note 3,Note 3,$18731.14,Note 3,Note 3,$18169.21,Note 3,Note 3,$18731.14,Note 3,$18731.14,$18731.14,Note 3,$18731.14,Note 3,Note 3,$18731.14,$18731.14,$18731.14,Note 3,Note 3,$17794.58,Note 3,$15921.47,$18731.14
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$25259.13,$29716.62,Note 3,$29716.62,Note 3,Note 3,$29716.62,Note 3,Note 3,$28825.12,Note 3,Note 3,$29716.62,Note 3,$29716.62,$29716.62,Note 3,$29716.62,Note 3,Note 3,$29716.62,$29716.62,$29716.62,Note 3,Note 3,$28230.79,Note 3,$25259.13,$29716.62
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$18910.64,$22247.81,Note 3,$22247.81,Note 3,Note 3,$22247.81,Note 3,Note 3,$21580.38,Note 3,Note 3,$22247.81,Note 3,$22247.81,$22247.81,Note 3,$22247.81,Note 3,Note 3,$22247.81,$22247.81,$22247.81,Note 3,Note 3,$21135.42,Note 3,$18910.64,$22247.81
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$17653.92,$20769.31,Note 3,$20769.31,Note 3,Note 3,$20769.31,Note 3,Note 3,$20146.23,Note 3,Note 3,$20769.31,Note 3,$20769.31,$20769.31,Note 3,$20769.31,Note 3,Note 3,$20769.31,$20769.31,$20769.31,Note 3,Note 3,$19730.85,Note 3,$17653.92,$20769.31
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$19967.66,$23491.37,Note 3,$23491.37,Note 3,Note 3,$23491.37,Note 3,Note 3,$22786.63,Note 3,Note 3,$23491.37,Note 3,$23491.37,$23491.37,Note 3,$23491.37,Note 3,Note 3,$23491.37,$23491.37,$23491.37,Note 3,Note 3,$22316.80,Note 3,$19967.66,$23491.37
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$31677.58,$37267.74,Note 3,$37267.74,Note 3,Note 3,$37267.74,Note 3,Note 3,$36149.71,Note 3,Note 3,$37267.74,Note 3,$37267.74,$37267.74,Note 3,$37267.74,Note 3,Note 3,$37267.74,$37267.74,$37267.74,Note 3,Note 3,$35404.35,Note 3,$31677.58,$37267.74
