hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|AL,,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,
S-INTROCATH RHRT-PUL,1061301,CDM,BOTH,,,979.58,979.58,HealthChoice,HealthChoice Commercial,,,,,,1,979.32,Fee Schedule,negotiated rate
S-INS ENDO VENA CAVA,1061536,CDM,BOTH,,,20072.23,20072.23,HealthChoice,HealthChoice Commercial,,,,,,1,14050.56,Fee Schedule,negotiated rate
S-REDO ENDO VENA CAV,1061537,CDM,BOTH,,,13849.27,13849.27,HealthChoice,HealthChoice Commercial,,,,,,1,17161.76,Fee Schedule,negotiated rate
S-REM ENDO VENA CAVA,1061538,CDM,BOTH,,,13849.27,13849.27,HealthChoice,HealthChoice Commercial,,,,,,1,11841.13,Fee Schedule,negotiated rate
IC-RETRIEVAL CATHETE,1061563,CDM,BOTH,,,14271.49,14271.49,HealthChoice,HealthChoice Commercial,,,,,,286.51,11841.13,Fee Schedule,negotiated rate
S-INJ CATH HYSTERSO,2811367,CDM,BOTH,,,1199.16,1199.16,HealthChoice,HealthChoice Commercial,,,,,,1,12202.12,Fee Schedule,negotiated rate
HE-EYE FOREIGNBDY DR,1610001,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,1025.28,Fee Schedule,negotiated rate
HE-MANDIBLE LTD DR,1610002,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
HE-MANDIBLE 4VPLS DR,1610003,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
HE-MASTOID 3VPLUS DR,1610005,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
HE-INT AUD MEATUS DR,1610006,CDM,BOTH,,,1480.23,1480.23,HealthChoice,HealthChoice Commercial,,,,,,1,1036.16,Fee Schedule,negotiated rate
HE-FACIAL BNS LTD DR,1610007,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,1303.57,Fee Schedule,negotiated rate
HE-FACIAL BNES 3V DR,1610008,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
HE-NASAL BONES DR,1610009,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
HE-OPTIC FORAMINA DR,1610011,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
HE-ORBITS 4V DR,1610012,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
HE-SINUSES LTD DR,1610013,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
HE-SINUSES 3VPLUS DR,1610014,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
HE-SKULL LIMITED DR,1610016,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
HE-SKULL 4V PLUS DR,1610017,CDM,BOTH,,,1480.23,1480.23,HealthChoice,HealthChoice Commercial,,,,,,1,1036.16,Fee Schedule,negotiated rate
HE-TMJ UNILATERAL DR,1610021,CDM,BOTH,,,409.23,409.23,HealthChoice,HealthChoice Commercial,,,,,,1,1303.57,Fee Schedule,negotiated rate
HE-TMJ BILATERAL DR,1610022,CDM,BOTH,,,903.35,903.35,HealthChoice,HealthChoice Commercial,,,,,,1,632.35,Fee Schedule,negotiated rate
SP-NECK SOFT TISS DR,1610026,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,795.53,Fee Schedule,negotiated rate
IR-SIALOGRAM,1691061,CDM,BOTH,,,2085.06,2085.06,HealthChoice,HealthChoice Commercial,,,,,,1,1459.54,Fee Schedule,negotiated rate
CH-RIBS UNILAT DR,1610027,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,1782.73,Fee Schedule,negotiated rate
CH-RIB UNI PA CXR DR,1610028,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
CH-RIBS BILATERAL DR,1610029,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
CH-RIBS BI PA CXR DR,1610030,CDM,BOTH,,,1480.23,1480.23,HealthChoice,HealthChoice Commercial,,,,,,1,1036.16,Fee Schedule,negotiated rate
CH-STERNUM DR,1610031,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,1303.57,Fee Schedule,negotiated rate
CH-STRNOCLAV JNTS DR,1610032,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
SP-SPINE SNGL VW DR,1610033,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
SP-CERV SP 2TO3VW DR,1610034,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
SP-CERV SP 4TO5VW DR,1610035,CDM,BOTH,,,1480.23,1480.23,HealthChoice,HealthChoice Commercial,,,,,,1,1036.16,Fee Schedule,negotiated rate
SP-CRV SPNE 6VPLS DR,1610036,CDM,BOTH,,,1480.23,1480.23,HealthChoice,HealthChoice Commercial,,,,,,1,1303.57,Fee Schedule,negotiated rate
SP-T SPINE 2 VIEW DR,1610037,CDM,BOTH,,,775.17,775.17,HealthChoice,HealthChoice Commercial,,,,,,1,1303.57,Fee Schedule,negotiated rate
SP-T SPINE 3 VIEW DR,1610038,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,682.66,Fee Schedule,negotiated rate
SP-ENTIRE SPNE 1V DR,1610041,CDM,BOTH,,,871.03,871.03,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
SP-ENT SPN 2OR3 V DR,1610042,CDM,BOTH,,,871.03,871.03,HealthChoice,HealthChoice Commercial,,,,,,1,767.07,Fee Schedule,negotiated rate
SP-ENT SPN 4OR5 V DR,1610043,CDM,BOTH,,,1742.06,1742.06,HealthChoice,HealthChoice Commercial,,,,,,1,1219.44,Fee Schedule,negotiated rate
SP-ENT SPNE MIN6V DR,1610044,CDM,BOTH,,,1742.06,1742.06,HealthChoice,HealthChoice Commercial,,,,,,1,1534.14,Fee Schedule,negotiated rate
SP-LS SPN 2 TO 3V DR,1610045,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,1534.14,Fee Schedule,negotiated rate
SP-LS SPNE 4VPLUS DR,1610046,CDM,BOTH,,,1480.23,1480.23,HealthChoice,HealthChoice Commercial,,,,,,1,1036.16,Fee Schedule,negotiated rate
SP-LS SPINE W BND DR,1610047,CDM,BOTH,,,1480.23,1480.23,HealthChoice,HealthChoice Commercial,,,,,,1,1303.57,Fee Schedule,negotiated rate
LE-PELVIS DR,1610049,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,1303.57,Fee Schedule,negotiated rate
LE-PELVIS 3V PLUS DR,1610050,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
SP-SI JNTS 3VPLUS DR,1610052,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
SP-SCRM COCCYX 2V DR,1610053,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
IR-CERV MYL C1 OR C2,1612462,CDM,BOTH,,,1261.99,1261.99,HealthChoice,HealthChoice Commercial,,,,,,1,1089.31,Fee Schedule,negotiated rate
IR-THOR MYL C1 OR C2,1612464,CDM,BOTH,,,1261.99,1261.99,HealthChoice,HealthChoice Commercial,,,,,,1,1089.31,Fee Schedule,negotiated rate
IR-LUMB MYL C1 OR C2,1612463,CDM,BOTH,,,1261.99,1261.99,HealthChoice,HealthChoice Commercial,,,,,,1,1089.31,Fee Schedule,negotiated rate
UE-CLAVICLE DR,1610056,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,1079,Fee Schedule,negotiated rate
UE-SCAPULA DR,1610058,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
UE-SHOULDER 1V DR,1610059,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
UE-SHLDR 2VW PLUS DR,1610060,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
UE-AC JTS BILAT DR,1610062,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
UE-HUMERUS DR,1610064,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
UE-ELBOW 2V DR,1610065,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
UE-ELBOW 3V DR,1610066,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
UE-FOREARM 2V DR,1610067,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
UE-UP EXT INFANT DR,1610068,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
UE-WRIST 2V DR,1610069,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
UE-WRIST 3V PLUS DR,1610070,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
UE-HAND 2V DR,1610071,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
UE-HAND 3V DR,1610072,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
UE-FINGER S 2VPLS DR,1610073,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
LE-HIP UNILAT 1V DR,1610074,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
LE-HIP PV UN2OR3V DR,1610075,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
LE-HIP PV UNMIN4V DR,1610076,CDM,BOTH,,,1306.56,1306.56,HealthChoice,HealthChoice Commercial,,,,,,1,914.59,Fee Schedule,negotiated rate
LE-HIP PLV BI 2V DR,1610077,CDM,BOTH,,,1480.19,1480.19,HealthChoice,HealthChoice Commercial,,,,,,1,1150.62,Fee Schedule,negotiated rate
LE-HIP PV BI3OR4V DR,1610078,CDM,BOTH,,,1480.19,1480.19,HealthChoice,HealthChoice Commercial,,,,,,1,1303.53,Fee Schedule,negotiated rate
LE-HIP PV BI MIN5VDR,1610079,CDM,BOTH,,,2960.41,2960.41,HealthChoice,HealthChoice Commercial,,,,,,1,2072.29,Fee Schedule,negotiated rate
LE-FEMUR 1V DR,1610081,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,2607.08,Fee Schedule,negotiated rate
LE-FEMUR 2V DR,1610082,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
LE-KNEE 1 TO 2V DR,1610083,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
LE-KNEE 3V DR,1610084,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
LE-KNEE 4V PLUS DR,1610085,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
LE-KNEE BI AP STD DR,1610086,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
LE-TIB FIB 2V DR,1610087,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
LE-LWR EXT INFANT DR,1610088,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
LE-ANKLE 2V DR,1610089,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,1065.96,Fee Schedule,negotiated rate
LE-ANKLE 3VPLUS DR,1610090,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
LE-FOOT 2V DR,1610091,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
LE-FOOT 3V PLUS DR,1610092,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
LE-CALCANEUS 2PLS DR,1610093,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
LE-TOE S 2VPLUS DR,1610094,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
CH-ABDOMEN 1 VIEW DR,1610167,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
CH-ABDOMEN 2 VWS DR,1610168,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
CH-ABDOMEN 3VWS DR,1610169,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
CH-ABD SER PA CXR DR,1610095,CDM,BOTH,,,1480.23,1480.23,HealthChoice,HealthChoice Commercial,,,,,,1,1036.16,Fee Schedule,negotiated rate
FL-ESOPHAGUS,1612203,CDM,BOTH,,,1808.69,1808.69,HealthChoice,HealthChoice Commercial,,,,,,1,1303.57,Fee Schedule,negotiated rate
FL-MOD BA SWALLOW,1612483,CDM,BOTH,,,1756.01,1756.01,HealthChoice,HealthChoice Commercial,,,,,,1,1546.43,Fee Schedule,negotiated rate
FL-UPPER GI SINGLE,1614903,CDM,BOTH,,,1808.69,1808.69,HealthChoice,HealthChoice Commercial,,,,,,1,1501.39,Fee Schedule,negotiated rate
FL-UPPER GI DOUBLE,1614904,CDM,BOTH,,,1808.69,1808.69,HealthChoice,HealthChoice Commercial,,,,,,1,1546.43,Fee Schedule,negotiated rate
FL-LOWER GI FOLLOW,2814904,CDM,BOTH,,,1808.69,1808.69,HealthChoice,HealthChoice Commercial,,,,,,1,1546.43,Fee Schedule,negotiated rate
FL-SMALL BOWEL DR,1610097,CDM,BOTH,,,1756.01,1756.01,HealthChoice,HealthChoice Commercial,,,,,,1,1546.43,Fee Schedule,negotiated rate
FL-BARIUM ENEMA,1612215,CDM,BOTH,,,1808.69,1808.69,HealthChoice,HealthChoice Commercial,,,,,,1,1546.43,Fee Schedule,negotiated rate
FL-BARIUM ENEMA AIR,1612216,CDM,BOTH,,,2863.51,2863.51,HealthChoice,HealthChoice Commercial,,,,,,1,2004.46,Fee Schedule,negotiated rate
SU-CHOLE W GRAMS DR,1612220,CDM,BOTH,,,2085.06,2085.06,HealthChoice,HealthChoice Commercial,,,,,,1,2448.3,Fee Schedule,negotiated rate
SU-CHOLE W GRAMS ADD,1610100,CDM,BOTH,,,1586.07,1586.07,HealthChoice,HealthChoice Commercial,,,,,,1,1782.73,Fee Schedule,negotiated rate
FL-IVP DR,1610101,CDM,BOTH,,,3046.95,3046.95,HealthChoice,HealthChoice Commercial,,,,,,1,2132.87,Fee Schedule,negotiated rate
FL-UROGRAPH W TOM DR,1610103,CDM,BOTH,,,3046.95,3046.95,HealthChoice,HealthChoice Commercial,,,,,,1,2683.3,Fee Schedule,negotiated rate
FL-UROGRAPH RETRO DR,1610104,CDM,BOTH,,,3046.95,3046.95,HealthChoice,HealthChoice Commercial,,,,,,1,2683.3,Fee Schedule,negotiated rate
FL-UROGRAPHY ANTE DR,1610105,CDM,BOTH,,,3046.95,3046.95,HealthChoice,HealthChoice Commercial,,,,,,1,2683.3,Fee Schedule,negotiated rate
FL-CYSTOGRM 3VPLS DR,1610106,CDM,BOTH,,,3046.95,3046.95,HealthChoice,HealthChoice Commercial,,,,,,1,2683.3,Fee Schedule,negotiated rate
FL-UCG VOIDING,1610110,CDM,BOTH,,,3138.36,3138.36,HealthChoice,HealthChoice Commercial,,,,,,1,2683.3,Fee Schedule,negotiated rate
IR-HYSTERSALPINGOGRM,1610112,CDM,BOTH,,,4242.3,4242.3,HealthChoice,HealthChoice Commercial,,,,,,1,2969.61,Fee Schedule,negotiated rate
IR-ABD AORTA SERIAL,2850082,CDM,BOTH,,,12157.1,12157.1,HealthChoice,HealthChoice Commercial,,,,,,1,8509.97,Fee Schedule,negotiated rate
IR-AABF SERIAL,2850083,CDM,BOTH,,,12157.1,12157.1,HealthChoice,HealthChoice Commercial,,,,,,1,10394.32,Fee Schedule,negotiated rate
IR-ANGIO EXTREM UNI,2850085,CDM,BOTH,,,12157.1,12157.1,HealthChoice,HealthChoice Commercial,,,,,,1,10394.32,Fee Schedule,negotiated rate
IR-ANGIO EXTREM BI,2850086,CDM,BOTH,,,12157.1,12157.1,HealthChoice,HealthChoice Commercial,,,,,,1,10394.32,Fee Schedule,negotiated rate
IR-ANGIO VISCERAL SE,1061360,CDM,BOTH,,,6249.06,6249.06,HealthChoice,HealthChoice Commercial,,,,,,1,10394.32,Fee Schedule,negotiated rate
IR-ANG PULMONARY UNI,2850090,CDM,BOTH,,,12157.1,12157.1,HealthChoice,HealthChoice Commercial,,,,,,1,8509.97,Fee Schedule,negotiated rate
IR-ANG PULMONARY BI,2850091,CDM,BOTH,,,12157.1,12157.1,HealthChoice,HealthChoice Commercial,,,,,,1,10394.32,Fee Schedule,negotiated rate
IR-SHUNTOGRAM,1691069,CDM,BOTH,,,1346.55,1346.55,HealthChoice,HealthChoice Commercial,,,,,,1,10394.32,Fee Schedule,negotiated rate
IR-VENOGRAM EXT UNI,2850101,CDM,BOTH,,,3933.6,3933.6,HealthChoice,HealthChoice Commercial,,,,,,1,2753.52,Fee Schedule,negotiated rate
IR-VENOGRAM EXT BI,2850102,CDM,BOTH,,,3578.71,3578.71,HealthChoice,HealthChoice Commercial,,,,,,1,3363.23,Fee Schedule,negotiated rate
IR-VENACAVAGRAM INF,1061424,CDM,BOTH,,,13149.12,13149.12,HealthChoice,HealthChoice Commercial,,,,,,1,9204.38,Fee Schedule,negotiated rate
IR-VENACAVAGRAM SUP,1061423,CDM,BOTH,,,4254.57,4254.57,HealthChoice,HealthChoice Commercial,,,,,,1,11242.5,Fee Schedule,negotiated rate
IR-ANGIO EXIST CATH,1061372,CDM,BOTH,,,1306.63,1306.63,HealthChoice,HealthChoice Commercial,,,,,,1,3637.66,Fee Schedule,negotiated rate
FL-FLUORO 1 HOUR,1610114,CDM,BOTH,,,565.03,565.03,HealthChoice,HealthChoice Commercial,,,,,,1,1117.17,Fee Schedule,negotiated rate
CH-BABYGRAM FB DR,1610115,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,609.4,Fee Schedule,negotiated rate
EXAM SURG SPECMN DR,1610117,CDM,BOTH,,,1955.76,1955.76,HealthChoice,HealthChoice Commercial,,,,,,1,2953.71,Fee Schedule,negotiated rate
TOMOGRAM ONE PLNE DR,1610118,CDM,BOTH,,,1480.23,1480.23,HealthChoice,HealthChoice Commercial,,,,,,1,1722.34,Fee Schedule,negotiated rate
FL-FLUORO CVAD ANY,1612342,CDM,BOTH,,,540.46,540.46,HealthChoice,HealthChoice Commercial,,,,,,1,1303.57,Fee Schedule,negotiated rate
FL-NEDL GUIDE FLUORO,1612353,CDM,BOTH,,,1171.12,1171.12,HealthChoice,HealthChoice Commercial,,,,,,1,819.78,Fee Schedule,negotiated rate
FL-FLUORO GUIDE SPIN,1612354,CDM,BOTH,,,565.03,565.03,HealthChoice,HealthChoice Commercial,,,,,,1,1001.31,Fee Schedule,negotiated rate
STRESS VIEWS JOINT,1612254,CDM,BOTH,,,896.69,896.69,HealthChoice,HealthChoice Commercial,,,,,,1,627.68,Fee Schedule,negotiated rate
BONE AGE STUDY DR,1610122,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
BONE LENGTH STUDY DR,1610123,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,766.67,Fee Schedule,negotiated rate
BNE SRVY LTD METS DR,1610124,CDM,BOTH,,,1480.23,1480.23,HealthChoice,HealthChoice Commercial,,,,,,1,1036.16,Fee Schedule,negotiated rate
BNE SRVY CMP METS DR,1610125,CDM,BOTH,,,1480.23,1480.23,HealthChoice,HealthChoice Commercial,,,,,,1,1303.57,Fee Schedule,negotiated rate
BONE SRVY INFANT DR,1610126,CDM,BOTH,,,870.57,870.57,HealthChoice,HealthChoice Commercial,,,,,,1,1303.57,Fee Schedule,negotiated rate
DEXA AXIAL,1612262,CDM,BOTH,,,1500.08,1500.08,HealthChoice,HealthChoice Commercial,,,,,,1,1050.06,Fee Schedule,negotiated rate
CC-ILIAC ANG W-CATH,1061229,CDM,BOTH,,,108.99,108.99,HealthChoice,HealthChoice Commercial,,,,,,1,1282.57,Fee Schedule,negotiated rate
IR-ARTHROGM SHLDR DR,1610061,CDM,BOTH,,,4668.78,4668.78,HealthChoice,HealthChoice Commercial,,,,,,1,3268.15,Fee Schedule,negotiated rate
IR-ARTHROGRAM ELBOW,1612280,CDM,BOTH,,,4371.68,4371.68,HealthChoice,HealthChoice Commercial,,,,,,1,4111.56,Fee Schedule,negotiated rate
IR-ARTHROGRAM WRIST,1612281,CDM,BOTH,,,4371.68,4371.68,HealthChoice,HealthChoice Commercial,,,,,,1,3737.79,Fee Schedule,negotiated rate
IR-ARTHROGRAM HIP DR,1610080,CDM,BOTH,,,4244.35,4244.35,HealthChoice,HealthChoice Commercial,,,,,,1,3737.79,Fee Schedule,negotiated rate
IR-ARTHROGRAM KNEE,1612284,CDM,BOTH,,,4371.68,4371.68,HealthChoice,HealthChoice Commercial,,,,,,1,3737.79,Fee Schedule,negotiated rate
IR-ANG EXT CRT NS,1061580,CDM,BOTH,,,22863.57,22863.57,HealthChoice,HealthChoice Commercial,,,,,,383.49,16004.5,Fee Schedule,negotiated rate
IR-ANG CRT EXT CC UN,1061581,CDM,BOTH,,,22863.57,22863.57,HealthChoice,HealthChoice Commercial,,,,,,383.49,19548.35,Fee Schedule,negotiated rate
IR-ANG CARTD IPS UNI,1061583,CDM,BOTH,,,35598.16,35598.16,HealthChoice,HealthChoice Commercial,,,,,,383.49,24918.71,Fee Schedule,negotiated rate
IR-ANG INT CAR IP UN,1061585,CDM,BOTH,,,33904.59,33904.59,HealthChoice,HealthChoice Commercial,,,,,,383.49,45653.96,Fee Schedule,negotiated rate
IR-ANG SUBCL IPS UNI,1061587,CDM,BOTH,,,15241.86,15241.86,HealthChoice,HealthChoice Commercial,,,,,,383.49,52723.18,Fee Schedule,negotiated rate
IR-ANG VERT IPS UNI,1061589,CDM,BOTH,,,15671.77,15671.77,HealthChoice,HealthChoice Commercial,,,,,,383.49,19548.35,Fee Schedule,negotiated rate
CH-CHEST 1V DR,1610163,CDM,BOTH,,,1095.67,1095.67,HealthChoice,HealthChoice Commercial,,,,,,1,20095.78,Fee Schedule,negotiated rate
CH-CHEST 2V DR,1610164,CDM,BOTH,,,1095.67,1095.67,HealthChoice,HealthChoice Commercial,,,,,,1,964.9,Fee Schedule,negotiated rate
CH-CHEST 3V DR,1610165,CDM,BOTH,,,1095.67,1095.67,HealthChoice,HealthChoice Commercial,,,,,,1,964.9,Fee Schedule,negotiated rate
CH-CHEST 4V DR,1610166,CDM,BOTH,,,1095.67,1095.67,HealthChoice,HealthChoice Commercial,,,,,,1,964.9,Fee Schedule,negotiated rate
S-INTROCATH AORTA,1061325,CDM,BOTH,,,1206.83,1206.83,HealthChoice,HealthChoice Commercial,,,,,,1,964.9,Fee Schedule,negotiated rate
S-ABDOMEN 1ST ORDER,1061330,CDM,BOTH,,,1880.86,1880.86,HealthChoice,HealthChoice Commercial,,,,,,1,1316.6,Fee Schedule,negotiated rate
S-ABDOMEN 3RD ORDER,1061332,CDM,BOTH,,,2521.12,2521.12,HealthChoice,HealthChoice Commercial,,,,,,1,1764.78,Fee Schedule,negotiated rate
S-ABDOMEN ADD ORDER,2850069,CDM,BOTH,,,403.8,403.8,HealthChoice,HealthChoice Commercial,,,,,,1,2155.56,Fee Schedule,negotiated rate
S-ID SENTINEL NODE,2811559,CDM,BOTH,,,2825.14,2825.14,HealthChoice,HealthChoice Commercial,,,,,,286.51,1977.6,Fee Schedule,negotiated rate
CDSM EVICORE,2819901,CDM,BOTH,,,1,1,HealthChoice,HealthChoice Commercial,,,,,,1,2415.49,Fee Schedule,negotiated rate
CDSM MEDCURRENT,2819902,CDM,BOTH,,,1,1,HealthChoice,HealthChoice Commercial,,,,,,1,1,Fee Schedule,negotiated rate
CDSM MEDICALIS,2819903,CDM,BOTH,,,1,1,HealthChoice,HealthChoice Commercial,,,,,,1,1,Fee Schedule,negotiated rate
AUC G1004 RAD,2819904,CDM,BOTH,,,1,1,HealthChoice,HealthChoice Commercial,,,,,,1,1,Fee Schedule,negotiated rate
CDSM AIM SPEC HLTH,2819907,CDM,BOTH,,,1,1,HealthChoice,HealthChoice Commercial,,,,,,1,1,Fee Schedule,negotiated rate
CDSM CRANBERRY PEAK,2819908,CDM,BOTH,,,1,1,HealthChoice,HealthChoice Commercial,,,,,,1,1,Fee Schedule,negotiated rate
AUC G1010 RAD,2819910,CDM,BOTH,,,1,1,HealthChoice,HealthChoice Commercial,,,,,,1,1,Fee Schedule,negotiated rate
CDSM NOS,2819911,CDM,BOTH,,,1,1,HealthChoice,HealthChoice Commercial,,,,,,1,1,Fee Schedule,negotiated rate
CHEMO NON HORM IM SC,1523119,CDM,BOTH,,,519.24,519.24,HealthChoice,HealthChoice Commercial,,,,,,1,430,Fee Schedule,negotiated rate
CHEMO IV PUSH,1523114,CDM,BOTH,,,897.5,897.5,HealthChoice,HealthChoice Commercial,,,,,,1,628.25,Fee Schedule,negotiated rate
CHEMO EA AD IV PUSH,1523115,CDM,BOTH,,,897.5,897.5,HealthChoice,HealthChoice Commercial,,,,,,1,767.36,Fee Schedule,negotiated rate
