hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|CA,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",general_contract_provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Martin Community Hospital,1/9/2025,1.0.0,Lake Martin Community Hospital,"201 Mariarden Rd, Dadeville, AL 36853",H6202,TRUE,"When total claim charges exceed $200,000.00 for a Platform Health Insurance plan, the entire claim will be reimbursed at 50% of charges. This amount will supersede any other contracted rate that would otherwise apply. When total claim charges exceed $250,000.00 for a Region Health Insurance plan, the entire claim will be reimbursed at 45% of charges. This amount will supersede any other contracted rate that would otherwise apply.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,modifiers,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,standard_charge|MEDICARE|negotiated_dollar,standard_charge|MEDICARE|negotiated_percentage,standard_charge|MEDICARE|negotiated_algorithm,estimated_amount|MEDICARE|,standard_charge|MEDICARE|methodology,additional_payer_notes|MEDICARE|,standard_charge|TRICARE|ALL PLANS|negotiated_dollar,standard_charge|TRICARE|ALL PLANS|negotiated_percentage,standard_charge|TRICARE|ALL PLANS|negotiated_algorithm,estimated_amount|TRICARE|ALL PLANS,standard_charge|TRICARE|ALL PLANS|methodology,additional_payer_notes|TRICARE|ALL PLANS,standard_charge|MEDICAID|negotiated_dollar,standard_charge|MEDICAID|negotiated_percentage,standard_charge|MEDICAID|negotiated_algorithm,estimated_amount|MEDICAID|,standard_charge|MEDICAID|methodology,additional_payer_notes|MEDICAID|,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_dollar,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_percentage,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_algorithm,estimated_amount|VIVA MEDICARE ALL PLANS|,standard_charge|VIVA MEDICARE ALL PLANS|methodology,additional_payer_notes|VIVA MEDICARE ALL PLANS|,standard_charge|HUMANA ALL PLANS|negotiated_dollar,standard_charge|HUMANA ALL PLANS|negotiated_percentage,standard_charge|HUMANA ALL PLANS|negotiated_algorithm,estimated_amount|HUMANA ALL PLANS|,standard_charge|HUMANA ALL PLANS|methodology,additional_payer_notes|HUMANA ALL PLANS|,standard_charge|min,standard_charge|max,additional_generic_notes
MRI LOWER EXTR W/O LT MRI LWR EXTR,73718,CPT,,,,BOTH,,,1725,862.5,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,396,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,1466.25,PERCENTAGE OF TOTAL BILLED CHARGES,,210.17,862.5,
MRI LOWER EXTR W/O CONTR RT MRI LOWER EX,73718,CPT,,,,BOTH,,,1725,862.5,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,396,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,1466.25,PERCENTAGE OF TOTAL BILLED CHARGES,,210.17,862.5,
MR LOWER EXT W/O - LT,73718,CPT,,,,BOTH,,,534,267,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,396,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,453.9,PERCENTAGE OF TOTAL BILLED CHARGES,,210.17,396,
MR LOWER EXT W/O - RT,73718,CPT,,,,BOTH,,,534,267,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,396,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,453.9,PERCENTAGE OF TOTAL BILLED CHARGES,,210.17,396,
MRI LOWER EXT RT WITH CONTRAST,73719,CPT,,,,BOTH,,,2090,1045,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,474.61,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,1776.5,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,1045,
MR LOWER EXT JOINT W/ - LT,73719,CPT,,,,BOTH,,,628,314,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,474.61,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,533.8,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,474.61,
MR LOWER EXT JOINT W/ - RT,73719,CPT,,,,BOTH,,,628,314,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,474.61,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,533.8,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,474.61,
MRI LOWER EXT W &W/O BILAT MRI LOWER EXT,73720,CPT,,,,BOTH,,,3015,1507.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,616.98,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,2562.75,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,1507.5,
MRI LOWER EXT WITH W/O LEFT MRI LOWEREXT,73720,CPT,,,,BOTH,,,2825,1412.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,616.98,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,2401.25,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,1412.5,
MRI LOWER EXT WITH AND W/O RTMRILOWER EX,73720,CPT,,,,BOTH,,,2825,1412.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,616.98,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,2401.25,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,1412.5,
MRI LOWER EXT W &W/O BILAT,73720,CPT,,,,BOTH,,,3015,1507.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,616.98,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,2562.75,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,1507.5,
MR LOWER EXT W/O & W/ - LT,73720,CPT,,,,BOTH,,,808,404,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,616.98,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,686.8,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,616.98,
MR LOWER EXT W/ - LT,73720,CPT,,,,BOTH,,,808,404,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,616.98,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,686.8,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,616.98,
MR LOWER EXT W/O & W/ - RT,73720,CPT,,,,BOTH,,,808,404,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,616.98,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,686.8,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,616.98,
MR LOWER EXT W/ - RT,73720,CPT,,,,BOTH,,,808,404,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,616.98,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,686.8,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,616.98,
MRI LOWER JT W/O BILAT MRI LOWER EXT,73721,CPT,,,,BOTH,,,3015,1507.5,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,375.14,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,2562.75,PERCENTAGE OF TOTAL BILLED CHARGES,,210.17,1507.5,
MRI LOWER EXT JT W/O CONT LT LOWER EXT,73721,CPT,,,,BOTH,,,2090,1045,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,375.14,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,1776.5,PERCENTAGE OF TOTAL BILLED CHARGES,,210.17,1045,
MRI LOWER EXT JT W/O CONT RT MRI LOW EXT,73721,CPT,,,,BOTH,,,2090,1045,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,375.14,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,1776.5,PERCENTAGE OF TOTAL BILLED CHARGES,,210.17,1045,
MR LOWER EXT JOINT W/O - LT,73721,CPT,,,,BOTH,,,483,241.5,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,375.14,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,410.55,PERCENTAGE OF TOTAL BILLED CHARGES,,210.17,375.14,
MR LOWER EXT JOINT W/O - RT,73721,CPT,,,,BOTH,,,483,241.5,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,375.14,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,410.55,PERCENTAGE OF TOTAL BILLED CHARGES,,210.17,375.14,
MRI JT LOWERXT WITH LT MRI JT LOWER,73722,CPT,,,,BOTH,,,2090,1045,740.75,,,,FEE SCHEDULE,,666.68,,,,FEE SCHEDULE,,474.61,,,,FEE SCHEDULE,,740.75,,,,FEE SCHEDULE,,,85,,1776.5,PERCENTAGE OF TOTAL BILLED CHARGES,,474.61,1045,
MRI JT LOWER EXT WITH RT,73722,CPT,,,,BOTH,,,2090,1045,740.75,,,,FEE SCHEDULE,,666.68,,,,FEE SCHEDULE,,474.61,,,,FEE SCHEDULE,,740.75,,,,FEE SCHEDULE,,,85,,1776.5,PERCENTAGE OF TOTAL BILLED CHARGES,,474.61,1045,
MRI HIP LOWER EXT JOINT W ITH CONTRAST,73722,CPT,,,,BOTH,,,2090,1045,740.75,,,,FEE SCHEDULE,,666.68,,,,FEE SCHEDULE,,474.61,,,,FEE SCHEDULE,,740.75,,,,FEE SCHEDULE,,,85,,1776.5,PERCENTAGE OF TOTAL BILLED CHARGES,,474.61,1045,
MR HIP W/ - LT,73722,CPT,,,,BOTH,,,748,374,740.75,,,,FEE SCHEDULE,,666.68,,,,FEE SCHEDULE,,474.61,,,,FEE SCHEDULE,,740.75,,,,FEE SCHEDULE,,,85,,635.8,PERCENTAGE OF TOTAL BILLED CHARGES,,474.61,740.75,
MR LOWER EXT JOINT W/ - LT,73722,CPT,,,,BOTH,,,748,374,740.75,,,,FEE SCHEDULE,,666.68,,,,FEE SCHEDULE,,474.61,,,,FEE SCHEDULE,,740.75,,,,FEE SCHEDULE,,,85,,635.8,PERCENTAGE OF TOTAL BILLED CHARGES,,474.61,740.75,
MR LOWER EXT JOINT - RT,73722,CPT,,,,BOTH,,,748,374,740.75,,,,FEE SCHEDULE,,666.68,,,,FEE SCHEDULE,,474.61,,,,FEE SCHEDULE,,740.75,,,,FEE SCHEDULE,,,85,,635.8,PERCENTAGE OF TOTAL BILLED CHARGES,,474.61,740.75,
MR HIP W/ - RT,73722,CPT,,,,BOTH,,,748,374,740.75,,,,FEE SCHEDULE,,666.68,,,,FEE SCHEDULE,,474.61,,,,FEE SCHEDULE,,740.75,,,,FEE SCHEDULE,,,85,,635.8,PERCENTAGE OF TOTAL BILLED CHARGES,,474.61,740.75,
MRI LOWER EXT JTW&W/OBILA MRI LOWER EXT,73723,CPT,,,,BOTH,,,3015,1507.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,878.02,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,2562.75,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,1507.5,
MRI LOWER EXT JT WITH &W/O RTMRI LOWEREX,73723,CPT,,,,BOTH,,,2825,1412.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,878.02,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,2401.25,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,1412.5,
MRI LOWER EXT JT WITH &WITHOUT LT MRI LO,73723,CPT,,,,BOTH,,,2825,1412.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,878.02,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,2401.25,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,1412.5,
MR LOWER EXT JOINT W/O & W/ - LT,73723,CPT,,,,BOTH,,,923,461.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,878.02,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,784.55,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,878.02,
MR LOWER EXT JOINT W/O & W/ - RT,73723,CPT,,,,BOTH,,,923,461.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,878.02,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,784.55,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,878.02,
XR ABDOMEN 1 VIEW,74018,CPT,,,,BOTH,,,68,34,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,14.97,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,57.8,PERCENTAGE OF TOTAL BILLED CHARGES,,14.97,233.52,
XR ABDOMEN FLAT AND UPRIGHT,74019,CPT,,,,BOTH,,,83,41.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,17.93,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,70.55,PERCENTAGE OF TOTAL BILLED CHARGES,,17.93,368.43,
ABD AP AND OBLIQUES 2 VIEWS,74019,CPT,,,,BOTH,,,83,41.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,17.93,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,70.55,PERCENTAGE OF TOTAL BILLED CHARGES,,17.93,368.43,
XR ABDOMEN W/ BOTH DECUBS,74020,CPT,,,,BOTH,,,179,89.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,152.15,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,368.43,
XR ABD AP AND OBLIQUES,74021,CPT,,,,BOTH,,,97,48.5,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,20.88,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,82.45,PERCENTAGE OF TOTAL BILLED CHARGES,,20.88,233.52,
XR ABDOMEN DECUB,74021,CPT,,,,BOTH,,,97,48.5,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,20.88,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,82.45,PERCENTAGE OF TOTAL BILLED CHARGES,,20.88,233.52,
XR ABD FLAT UP PA CHE,74022,CPT,,,,BOTH,,,112,56,740.75,,,,FEE SCHEDULE,,666.68,,,,FEE SCHEDULE,,33.49,,,,FEE SCHEDULE,,740.75,,,,FEE SCHEDULE,,,85,,95.2,PERCENTAGE OF TOTAL BILLED CHARGES,,33.49,740.75,
CT ABDOMEN W/O,74150,CPT,,,,BOTH,,,830,415,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,143.48,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,705.5,PERCENTAGE OF TOTAL BILLED CHARGES,,96.19,415,
CT ABDOMEN W/O,74150,CPT,,,,BOTH,,,327,163.5,106.88,,,,FEE SCHEDULE,,96.19,,,,FEE SCHEDULE,,143.48,,,,FEE SCHEDULE,,106.88,,,,FEE SCHEDULE,,,85,,277.95,PERCENTAGE OF TOTAL BILLED CHARGES,,96.19,163.5,
CT ABDOMEN W/ONLY,74160,CPT,,,,BOTH,,,939,469.5,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,140.03,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,798.15,PERCENTAGE OF TOTAL BILLED CHARGES,,140.03,469.5,
CT ABDOMEN W/,74160,CPT,,,,BOTH,,,557,278.5,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,140.03,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,473.45,PERCENTAGE OF TOTAL BILLED CHARGES,,140.03,278.5,
CT ABDOMEN W & W/O,74170,CPT,,,,BOTH,,,1107,553.5,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,177.51,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,940.95,PERCENTAGE OF TOTAL BILLED CHARGES,,162.31,553.5,
CT ABDOMEN W/O & W/,74170,CPT,,,,BOTH,,,625,312.5,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,177.51,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,531.25,PERCENTAGE OF TOTAL BILLED CHARGES,,162.31,312.5,
CTA ABD/PELVIS,74174,CPT,,,,BOTH,,,904,452,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,416.21,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,768.4,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,452,
CTA/ ABDOMEN,74175,CPT,,,,BOTH,,,2540,1270,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,302.56,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,2159,PERCENTAGE OF TOTAL BILLED CHARGES,,162.31,1270,
CTA ABDOMEN,74175,CPT,,,,BOTH,,,729,364.5,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,302.56,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,619.65,PERCENTAGE OF TOTAL BILLED CHARGES,,162.31,364.5,
CT ABD/PELVIS W/O,74176,CPT,,,,BOTH,,,440,220,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,126.84,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,374,PERCENTAGE OF TOTAL BILLED CHARGES,,126.84,233.52,
CT ABD/PELVIS W/,74177,CPT,,,,BOTH,,,726,363,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,242.07,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,617.1,PERCENTAGE OF TOTAL BILLED CHARGES,,242.07,368.43,
CT ABD/PELVIS W/O & W/,74178,CPT,,,,BOTH,,,813,406.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,319.98,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,691.05,PERCENTAGE OF TOTAL BILLED CHARGES,,319.98,406.5,
MRI ABDOMEN WITHOUT,74181,CPT,,,,BOTH,,,447,223.5,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,318.87,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,379.95,PERCENTAGE OF TOTAL BILLED CHARGES,,210.17,318.87,
MR ABDOMEN W/O,74181,CPT,,,,BOTH,,,470,235,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,318.87,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,399.5,PERCENTAGE OF TOTAL BILLED CHARGES,,210.17,318.87,
MRI ABDOMEN WITH,74182,CPT,,,,BOTH,,,543,271.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,476.08,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,461.55,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,476.08,
MR ABDOMEN W/,74182,CPT,,,,BOTH,,,723,361.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,476.08,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,614.55,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,476.08,
MRI ABDOMEN W/WO,74183,CPT,,,,BOTH,,,685,342.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,880.98,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,582.25,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,880.98,
MR ABDOMEN W/O & W/,74183,CPT,,,,BOTH,,,811,405.5,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,880.98,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,689.35,PERCENTAGE OF TOTAL BILLED CHARGES,,331.59,880.98,
FLUORO BARIUM SWALLOW,74220,CPT,,,,BOTH,,,228,114,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,22.68,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,193.8,PERCENTAGE OF TOTAL BILLED CHARGES,,22.68,180.34,
FLUORO MODIFIED BARIUM SWALLOW,74230,CPT,,,,BOTH,,,290,145,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,23.21,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,246.5,PERCENTAGE OF TOTAL BILLED CHARGES,,23.21,180.34,
FLUORO UPPER GI SERIES,74240,CPT,,,,BOTH,,,286,143,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,32.02,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,243.1,PERCENTAGE OF TOTAL BILLED CHARGES,,32.02,180.34,
FLUORO UPPER GI W/ AIR,74246,CPT,,,,BOTH,,,325,162.5,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,33.01,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,276.25,PERCENTAGE OF TOTAL BILLED CHARGES,,33.01,180.34,
FLUORO UGI W/ SMALL BOWEL,74248,CPT,,,,BOTH,,,193,96.5,77.35,,,,FEE SCHEDULE,,69.62,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,77.35,,,,FEE SCHEDULE,,,85,,164.05,PERCENTAGE OF TOTAL BILLED CHARGES,,69.62,96.5,
FLUORO SMALL BOWEL SERIES,74250,CPT,,,,BOTH,,,285,142.5,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,22.41,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,242.25,PERCENTAGE OF TOTAL BILLED CHARGES,,22.41,180.34,
FLUORO BARIUM ENEMA,74270,CPT,,,,BOTH,,,358,179,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,35.59,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,304.3,PERCENTAGE OF TOTAL BILLED CHARGES,,35.59,180.34,
FLUORO BARIUM ENEMA W/ GASTROGRAFIN,74270,CPT,,,,BOTH,,,358,179,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,35.59,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,304.3,PERCENTAGE OF TOTAL BILLED CHARGES,,35.59,180.34,
FLUORO BARIUM ENEMA W /AIR,74280,CPT,,,,BOTH,,,513,256.5,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,65.25,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,436.05,PERCENTAGE OF TOTAL BILLED CHARGES,,65.25,256.5,
FLUORO GALLBLADDER,74290,CPT,,,,BOTH,,,198,99,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,23.21,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,168.3,PERCENTAGE OF TOTAL BILLED CHARGES,,23.21,180.34,
OP CHOLANGIOGRAM,74300,CPT,,,,BOTH,,,206,103,45.7,,,,FEE SCHEDULE,,41.13,,,,FEE SCHEDULE,,16,,,,FEE SCHEDULE,,45.7,,,,FEE SCHEDULE,,,85,,175.1,PERCENTAGE OF TOTAL BILLED CHARGES,,16,103,
FLUORO ERCP,74330,CPT,,,,BOTH,,,565,282.5,146.94,,,,FEE SCHEDULE,,132.25,,,,FEE SCHEDULE,,56.94,,,,FEE SCHEDULE,,146.94,,,,FEE SCHEDULE,,,85,,480.25,PERCENTAGE OF TOTAL BILLED CHARGES,,56.94,282.5,
FLUORO ESOPHAGEAL DILATION,74360,CPT,,,,BOTH,,,565,282.5,85.03,,,,FEE SCHEDULE,,76.53,,,,FEE SCHEDULE,,61.17,,,,FEE SCHEDULE,,85.03,,,,FEE SCHEDULE,,,85,,480.25,PERCENTAGE OF TOTAL BILLED CHARGES,,61.17,282.5,
XR IVP W/ DELAYS,74400,CPT,,,,BOTH,,,294,147,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,49.37,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,249.9,PERCENTAGE OF TOTAL BILLED CHARGES,,49.37,180.34,
IVP DELAYED FILMS,74400,CPT,,,,BOTH,,,294,147,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,49.37,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,249.9,PERCENTAGE OF TOTAL BILLED CHARGES,,49.37,180.34,
XR IVP W/ BLADDER EVAC,74400,CPT,,,,BOTH,,,294,147,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,49.37,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,249.9,PERCENTAGE OF TOTAL BILLED CHARGES,,49.37,180.34,
INFUSION UROGRAPHY,74410,CPT,,,,BOTH,,,321,160.5,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,57.39,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,272.85,PERCENTAGE OF TOTAL BILLED CHARGES,,57.39,180.34,
XR IVP W/ TOMO,74415,CPT,,,,BOTH,,,348,174,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,30.43,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,295.8,PERCENTAGE OF TOTAL BILLED CHARGES,,30.43,180.34,
RETOGRADE PYLOGRA,74420,CPT,,,,BOTH,,,174,87,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,16,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,147.9,PERCENTAGE OF TOTAL BILLED CHARGES,,16,368.43,
FLUORO CYSTOGRAM,74430,CPT,,,,BOTH,,,96,48,368.43,,,,FEE SCHEDULE,,331.59,,,,FEE SCHEDULE,,26.69,,,,FEE SCHEDULE,,368.43,,,,FEE SCHEDULE,,,85,,81.6,PERCENTAGE OF TOTAL BILLED CHARGES,,26.69,368.43,
VOIDING CYSTO URET,74455,CPT,,,,BOTH,,,230,115,233.52,,,,FEE SCHEDULE,,210.17,,,,FEE SCHEDULE,,37.69,,,,FEE SCHEDULE,,233.52,,,,FEE SCHEDULE,,,85,,195.5,PERCENTAGE OF TOTAL BILLED CHARGES,,37.69,233.52,
CTA/ ABDOMEN AORTA,75635,CPT,,,,BOTH,,,2540,1270,180.34,,,,FEE SCHEDULE,,162.31,,,,FEE SCHEDULE,,302.56,,,,FEE SCHEDULE,,180.34,,,,FEE SCHEDULE,,,85,,2159,PERCENTAGE OF TOTAL BILLED CHARGES,,162.31,1270,
