Encompass Health Rehabilitation Hospital of Dothan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1736 East Main St., Dothan, AL 36301-3040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State License # - H3504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare (CCN) # - 013030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hospital Financial Aide Policy - Our hospital offers a financial aide policy.  For more information go to the hospital's main website and click on ""For Patients"" and then select ""Financial Assistance""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 2: SHOPPABLE SERVICE NOT OFFERED AT HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 3: Plan does not pay our hospital for the SHOPPABLE_SERVICES and/or the BILLING_REVENUE_SERVICE_CODE beginning with CMG. The Negotiated Charge for a specific Plan will only be displayed for applicable SHOPPABLE_SERVICES.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,AMBETTER AL EXCHANGE (AALZ) negotiated charge,ASCENSION COMPLETE MCR (ASCM) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL BLUE ADVANTAGE (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,BLUE CROSS OUT OF STATE (BCBS) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,MEDICARE (MCR) negotiated charge,MULTIPLAN WORK COMP (MULW) negotiated charge,PARADIGM WORK COMP (PARW) negotiated charge,THREE RIVERS HEALTH WC (TRPW) negotiated charge,TRICARE (TRI) negotiated charge,TRICARE FOR LIFE (TRIM) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE EXCHANG (UHCZ) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$10511.12,$12366.03,Note 3,$12366.03,Note 3,Note 3,$12366.03,Note 3,Note 3,$11747.72,Note 3,Note 3,Note 3,$12366.03,Note 3,$12366.03,$12366.03,Note 3,$12366.03,Note 3,$12366.03,$12366.03,$12366.03,Note 3,Note 3,$11747.72,Note 3,$10511.12,$12366.03
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$15521.02,$18260.02,Note 3,$18260.02,Note 3,Note 3,$18260.02,Note 3,Note 3,$17347.02,Note 3,Note 3,Note 3,$18260.02,Note 3,$18260.02,$18260.02,Note 3,$18260.02,Note 3,$18260.02,$18260.02,$18260.02,Note 3,Note 3,$17347.02,Note 3,$15521.02,$18260.02
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$12074.35,$14205.11,Note 3,$14205.11,Note 3,Note 3,$14205.11,Note 3,Note 3,$13494.86,Note 3,Note 3,Note 3,$14205.11,Note 3,$14205.11,$14205.11,Note 3,$14205.11,Note 3,$14205.11,$14205.11,$14205.11,Note 3,Note 3,$13494.86,Note 3,$12074.35,$14205.11
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$11407.01,$13420.01,Note 3,$13420.01,Note 3,Note 3,$13420.01,Note 3,Note 3,$12749.01,Note 3,Note 3,Note 3,$13420.01,Note 3,$13420.01,$13420.01,Note 3,$13420.01,Note 3,$13420.01,$13420.01,$13420.01,Note 3,Note 3,$12749.01,Note 3,$11407.01,$13420.01
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$13186.57,$15513.61,Note 3,$15513.61,Note 3,Note 3,$15513.61,Note 3,Note 3,$14737.93,Note 3,Note 3,Note 3,$15513.61,Note 3,$15513.61,$15513.61,Note 3,$15513.61,Note 3,$15513.61,$15513.61,$15513.61,Note 3,Note 3,$14737.93,Note 3,$13186.57,$15513.61
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$19471.24,$22907.34,Note 3,$22907.34,Note 3,Note 3,$22907.34,Note 3,Note 3,$21761.98,Note 3,Note 3,Note 3,$22907.34,Note 3,$22907.34,$22907.34,Note 3,$22907.34,Note 3,$22907.34,$22907.34,$22907.34,Note 3,Note 3,$21761.98,Note 3,$19471.24,$22907.34
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$15147.02,$17820.02,Note 3,$17820.02,Note 3,Note 3,$17820.02,Note 3,Note 3,$16929.02,Note 3,Note 3,Note 3,$17820.02,Note 3,$17820.02,$17820.02,Note 3,$17820.02,Note 3,$17820.02,$17820.02,$17820.02,Note 3,Note 3,$16929.02,Note 3,$15147.02,$17820.02
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$14311.01,$16836.49,Note 3,$16836.49,Note 3,Note 3,$16836.49,Note 3,Note 3,$15994.66,Note 3,Note 3,Note 3,$16836.49,Note 3,$16836.49,$16836.49,Note 3,$16836.49,Note 3,$16836.49,$16836.49,$16836.49,Note 3,Note 3,$15994.66,Note 3,$14311.01,$16836.49
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$15116.46,$17784.07,Note 3,$17784.07,Note 3,Note 3,$17784.07,Note 3,Note 3,$16894.87,Note 3,Note 3,Note 3,$17784.07,Note 3,$17784.07,$17784.07,Note 3,$17784.07,Note 3,$17784.07,$17784.07,$17784.07,Note 3,Note 3,$16894.87,Note 3,$15116.46,$17784.07
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$22319.02,$26257.67,Note 3,$26257.67,Note 3,Note 3,$26257.67,Note 3,Note 3,$24944.79,Note 3,Note 3,Note 3,$26257.67,Note 3,$26257.67,$26257.67,Note 3,$26257.67,Note 3,$26257.67,$26257.67,$26257.67,Note 3,Note 3,$24944.79,Note 3,$22319.02,$26257.67
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$17362.91,$20426.95,Note 3,$20426.95,Note 3,Note 3,$20426.95,Note 3,Note 3,$19405.60,Note 3,Note 3,Note 3,$20426.95,Note 3,$20426.95,$20426.95,Note 3,$20426.95,Note 3,$20426.95,$20426.95,$20426.95,Note 3,Note 3,$19405.60,Note 3,$17362.91,$20426.95
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$16403.46,$19298.19,Note 3,$19298.19,Note 3,Note 3,$19298.19,Note 3,Note 3,$18333.28,Note 3,Note 3,Note 3,$19298.19,Note 3,$19298.19,$19298.19,Note 3,$19298.19,Note 3,$19298.19,$19298.19,$19298.19,Note 3,Note 3,$18333.28,Note 3,$16403.46,$19298.19
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$17969.13,$21140.15,Note 3,$21140.15,Note 3,Note 3,$21140.15,Note 3,Note 3,$20083.15,Note 3,Note 3,Note 3,$21140.15,Note 3,$21140.15,$21140.15,Note 3,$21140.15,Note 3,$21140.15,$21140.15,$21140.15,Note 3,Note 3,$20083.15,Note 3,$17969.13,$21140.15
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$26530.81,$31212.71,Note 3,$31212.71,Note 3,Note 3,$31212.71,Note 3,Note 3,$29652.08,Note 3,Note 3,Note 3,$31212.71,Note 3,$31212.71,$31212.71,Note 3,$31212.71,Note 3,$31212.71,$31212.71,$31212.71,Note 3,Note 3,$29652.08,Note 3,$26530.81,$31212.71
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$20639.69,$24281.99,Note 3,$24281.99,Note 3,Note 3,$24281.99,Note 3,Note 3,$23067.89,Note 3,Note 3,Note 3,$24281.99,Note 3,$24281.99,$24281.99,Note 3,$24281.99,Note 3,$24281.99,$24281.99,$24281.99,Note 3,Note 3,$23067.89,Note 3,$20639.69,$24281.99
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$19499.35,$22940.42,Note 3,$22940.42,Note 3,Note 3,$22940.42,Note 3,Note 3,$21793.40,Note 3,Note 3,Note 3,$22940.42,Note 3,$22940.42,$22940.42,Note 3,$22940.42,Note 3,$22940.42,$22940.42,$22940.42,Note 3,Note 3,$21793.40,Note 3,$19499.35,$22940.42
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$24968.80,$29375.06,Note 3,$29375.06,Note 3,Note 3,$29375.06,Note 3,Note 3,$27906.31,Note 3,Note 3,Note 3,$29375.06,Note 3,$29375.06,$29375.06,Note 3,$29375.06,Note 3,$29375.06,$29375.06,$29375.06,Note 3,Note 3,$27906.31,Note 3,$24968.80,$29375.06
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$36865.93,$43371.68,Note 3,$43371.68,Note 3,Note 3,$43371.68,Note 3,Note 3,$41203.10,Note 3,Note 3,Note 3,$43371.68,Note 3,$43371.68,$43371.68,Note 3,$43371.68,Note 3,$43371.68,$43371.68,$43371.68,Note 3,Note 3,$41203.10,Note 3,$36865.93,$43371.68
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$28680.70,$33742.00,Note 3,$33742.00,Note 3,Note 3,$33742.00,Note 3,Note 3,$32054.90,Note 3,Note 3,Note 3,$33742.00,Note 3,$33742.00,$33742.00,Note 3,$33742.00,Note 3,$33742.00,$33742.00,$33742.00,Note 3,Note 3,$32054.90,Note 3,$28680.70,$33742.00
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$27095.47,$31877.03,Note 3,$31877.03,Note 3,Note 3,$31877.03,Note 3,Note 3,$30283.18,Note 3,Note 3,Note 3,$31877.03,Note 3,$31877.03,$31877.03,Note 3,$31877.03,Note 3,$31877.03,$31877.03,$31877.03,Note 3,Note 3,$30283.18,Note 3,$27095.47,$31877.03
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$10237.34,$12043.93,Note 3,$12043.93,Note 3,Note 3,$12043.93,Note 3,Note 3,$11441.74,Note 3,Note 3,Note 3,$12043.93,Note 3,$12043.93,$12043.93,Note 3,$12043.93,Note 3,$12043.93,$12043.93,$12043.93,Note 3,Note 3,$11441.74,Note 3,$10237.34,$12043.93
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$16239.68,$19105.51,Note 3,$19105.51,Note 3,Note 3,$19105.51,Note 3,Note 3,$18150.23,Note 3,Note 3,Note 3,$19105.51,Note 3,$19105.51,$19105.51,Note 3,$19105.51,Note 3,$19105.51,$19105.51,$19105.51,Note 3,Note 3,$18150.23,Note 3,$16239.68,$19105.51
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$12158.68,$14304.33,Note 3,$14304.33,Note 3,Note 3,$14304.33,Note 3,Note 3,$13589.11,Note 3,Note 3,Note 3,$14304.33,Note 3,$14304.33,$14304.33,Note 3,$14304.33,Note 3,$14304.33,$14304.33,$14304.33,Note 3,Note 3,$13589.11,Note 3,$12158.68,$14304.33
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$11350.79,$13353.87,Note 3,$13353.87,Note 3,Note 3,$13353.87,Note 3,Note 3,$12686.18,Note 3,Note 3,Note 3,$13353.87,Note 3,$13353.87,$13353.87,Note 3,$13353.87,Note 3,$13353.87,$13353.87,$13353.87,Note 3,Note 3,$12686.18,Note 3,$11350.79,$13353.87
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$12983.68,$15274.92,Note 3,$15274.92,Note 3,Note 3,$15274.92,Note 3,Note 3,$14511.17,Note 3,Note 3,Note 3,$15274.92,Note 3,$15274.92,$15274.92,Note 3,$15274.92,Note 3,$15274.92,$15274.92,$15274.92,Note 3,Note 3,$14511.17,Note 3,$12983.68,$15274.92
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$20598.13,$24233.10,Note 3,$24233.10,Note 3,Note 3,$24233.10,Note 3,Note 3,$23021.44,Note 3,Note 3,Note 3,$24233.10,Note 3,$24233.10,$24233.10,Note 3,$24233.10,Note 3,$24233.10,$24233.10,$24233.10,Note 3,Note 3,$23021.44,Note 3,$20598.13,$24233.10
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$15422.02,$18143.55,Note 3,$18143.55,Note 3,Note 3,$18143.55,Note 3,Note 3,$17236.37,Note 3,Note 3,Note 3,$18143.55,Note 3,$18143.55,$18143.55,Note 3,$18143.55,Note 3,$18143.55,$18143.55,$18143.55,Note 3,Note 3,$17236.37,Note 3,$15422.02,$18143.55
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$14396.57,$16937.14,Note 3,$16937.14,Note 3,Note 3,$16937.14,Note 3,Note 3,$16090.28,Note 3,Note 3,Note 3,$16937.14,Note 3,$16937.14,$16937.14,Note 3,$16937.14,Note 3,$16937.14,$16937.14,$16937.14,Note 3,Note 3,$16090.28,Note 3,$14396.57,$16937.14
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$15298.57,$17998.32,Note 3,$17998.32,Note 3,Note 3,$17998.32,Note 3,Note 3,$17098.40,Note 3,Note 3,Note 3,$17998.32,Note 3,$17998.32,$17998.32,Note 3,$17998.32,Note 3,$17998.32,$17998.32,$17998.32,Note 3,Note 3,$17098.40,Note 3,$15298.57,$17998.32
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$24270.91,$28554.02,Note 3,$28554.02,Note 3,Note 3,$28554.02,Note 3,Note 3,$27126.32,Note 3,Note 3,Note 3,$28554.02,Note 3,$28554.02,$28554.02,Note 3,$28554.02,Note 3,$28554.02,$28554.02,$28554.02,Note 3,Note 3,$27126.32,Note 3,$24270.91,$28554.02
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$18170.80,$21377.41,Note 3,$21377.41,Note 3,Note 3,$21377.41,Note 3,Note 3,$20308.54,Note 3,Note 3,Note 3,$21377.41,Note 3,$21377.41,$21377.41,Note 3,$21377.41,Note 3,$21377.41,$21377.41,$21377.41,Note 3,Note 3,$20308.54,Note 3,$18170.80,$21377.41
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$16963.24,$19956.75,Note 3,$19956.75,Note 3,Note 3,$19956.75,Note 3,Note 3,$18958.92,Note 3,Note 3,Note 3,$19956.75,Note 3,$19956.75,$19956.75,Note 3,$19956.75,Note 3,$19956.75,$19956.75,$19956.75,Note 3,Note 3,$18958.92,Note 3,$16963.24,$19956.75
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$19186.46,$22572.31,Note 3,$22572.31,Note 3,Note 3,$22572.31,Note 3,Note 3,$21443.70,Note 3,Note 3,Note 3,$22572.31,Note 3,$22572.31,$22572.31,Note 3,$22572.31,Note 3,$22572.31,$22572.31,$22572.31,Note 3,Note 3,$21443.70,Note 3,$19186.46,$22572.31
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$30438.25,$35809.71,Note 3,$35809.71,Note 3,Note 3,$35809.71,Note 3,Note 3,$34019.23,Note 3,Note 3,Note 3,$35809.71,Note 3,$35809.71,$35809.71,Note 3,$35809.71,Note 3,$35809.71,$35809.71,$35809.71,Note 3,Note 3,$34019.23,Note 3,$30438.25,$35809.71
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$22788.36,$26809.83,Note 3,$26809.83,Note 3,Note 3,$26809.83,Note 3,Note 3,$25469.34,Note 3,Note 3,Note 3,$26809.83,Note 3,$26809.83,$26809.83,Note 3,$26809.83,Note 3,$26809.83,$26809.83,$26809.83,Note 3,Note 3,$25469.34,Note 3,$22788.36,$26809.83
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$21274.02,$25028.26,Note 3,$25028.26,Note 3,Note 3,$25028.26,Note 3,Note 3,$23776.85,Note 3,Note 3,Note 3,$25028.26,Note 3,$25028.26,$25028.26,Note 3,$25028.26,Note 3,$25028.26,$25028.26,$25028.26,Note 3,Note 3,$23776.85,Note 3,$21274.02,$25028.26
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$10379.12,$12210.73,Note 3,$12210.73,Note 3,Note 3,$12210.73,Note 3,Note 3,$11600.20,Note 3,Note 3,Note 3,$12210.73,Note 3,$12210.73,$12210.73,Note 3,$12210.73,Note 3,$12210.73,$12210.73,$12210.73,Note 3,Note 3,$11600.20,Note 3,$10379.12,$12210.73
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$15329.13,$18034.27,Note 3,$18034.27,Note 3,Note 3,$18034.27,Note 3,Note 3,$17132.55,Note 3,Note 3,Note 3,$18034.27,Note 3,$18034.27,$18034.27,Note 3,$18034.27,Note 3,$18034.27,$18034.27,$18034.27,Note 3,Note 3,$17132.55,Note 3,$15329.13,$18034.27
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$11858.01,$13950.60,Note 3,$13950.60,Note 3,Note 3,$13950.60,Note 3,Note 3,$13253.07,Note 3,Note 3,Note 3,$13950.60,Note 3,$13950.60,$13950.60,Note 3,$13950.60,Note 3,$13950.60,$13950.60,$13950.60,Note 3,Note 3,$13253.07,Note 3,$11858.01,$13950.60
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$11233.46,$13215.83,Note 3,$13215.83,Note 3,Note 3,$13215.83,Note 3,Note 3,$12555.04,Note 3,Note 3,Note 3,$13215.83,Note 3,$13215.83,$13215.83,Note 3,$13215.83,Note 3,$13215.83,$13215.83,$13215.83,Note 3,Note 3,$12555.04,Note 3,$11233.46,$13215.83
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$12818.68,$15080.80,Note 3,$15080.80,Note 3,Note 3,$15080.80,Note 3,Note 3,$14326.76,Note 3,Note 3,Note 3,$15080.80,Note 3,$15080.80,$15080.80,Note 3,$15080.80,Note 3,$15080.80,$15080.80,$15080.80,Note 3,Note 3,$14326.76,Note 3,$12818.68,$15080.80
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$18934.69,$22276.10,Note 3,$22276.10,Note 3,Note 3,$22276.10,Note 3,Note 3,$21162.30,Note 3,Note 3,Note 3,$22276.10,Note 3,$22276.10,$22276.10,Note 3,$22276.10,Note 3,$22276.10,$22276.10,$22276.10,Note 3,Note 3,$21162.30,Note 3,$18934.69,$22276.10
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NO GROSS_CHARGE FOR THIS SHOPPABLE_SERVICE,NO DISCOUNTED_CASH_PRICE FOR THIS SHOPPABLE_SERVICE,$14647.13,$17231.91,Note 3,$17231.91,Note 3,Note 3,$17231.91,Note 3,Note 3,$16370.32,Note 3,Note 3,Note 3,$17231.91,Note 3,$17231.91,$17231.91,Note 3,$17231.91,Note 3,$17231.91,$17231.91,$17231.91,Note 3,Note 3,$16370.32,Note 3,$14647.13,$17231.91
